session_id,date,prompt_count,total_word_count,median_word_count,category_distribution,total_tokens_in,total_tokens_out,total_cache_read,total_cache_create,total_cost_usd,total_tool_calls,total_agents_spawned,agent_types_used,model,platform
ea4694877bd7,2026-01-08,43,6238,22,"{""networking"":24,""combat"":7,""other"":5,""system"":2,""ecs"":2,""build"":1,""confirmation"":1,""tooling"":1}",120,10573,2211874,923390,7.14,3,1,code-reviewer-game-dev,claude-opus-4-5-20251101,mac
98fe9207d9b6,2026-01-09,5,87,7,"{""system"":2,""confirmation"":2,""networking"":1}",9,648,51696,79386,0.54,2,2,code-reviewer-game-dev,claude-opus-4-5-20251101,mac
ce0f61f19e4a,2026-01-09,5,61,12,"{""physics"":3,""ecs"":1,""confirmation"":1}",15,97,162349,28855,0.26,3,1,ecs-component-designer,claude-opus-4-5-20251101,mac
3f2c52b9a76a,2026-01-09,1,44,44,"{""dungeon"":1}",3,1,0,29315,0.18,0,0,,claude-opus-4-5-20251101,mac
8d3040cd7374,2026-01-12,21,6751,31,"{""networking"":8,""save"":2,""physics"":2,""system"":2,""other"":2,""devtools"":2,""hero"":1,""content"":1,""confirmation"":1}",51,704,579466,887778,5.86,1,0,,claude-opus-4-5-20251101,mac
0398ccf13c3e,2026-01-12,7,107,7,"{""system"":3,""confirmation"":3,""ui"":1}",12,684,251854,86746,0.69,2,0,,claude-opus-4-5-20251101,mac
98f1002b3afb,2026-01-13,10,4331,24,"{""ui"":5,""system"":1,""confirmation"":1,""other"":1,""networking"":1,""devtools"":1}",27,549,375482,406335,2.74,1,1,code-reviewer-game-dev,claude-opus-4-5-20251101,mac
d67c98d2120f,2026-01-13,20,1647,7,"{""system"":8,""networking"":4,""confirmation"":4,""other"":3,""tooling"":1}",30,20,281072,213798,1.48,4,4,code-reviewer-game-dev,claude-opus-4-5-20251101,mac
297befcdabc4,2026-01-13,2,76,38,"{""ui"":2}",6,1363,0,156451,1.01,1,0,,claude-opus-4-5-20251101,mac
b682734f1831,2026-01-13,5,87,13,"{""combat"":2,""networking"":1,""ui"":1,""spawning"":1}",0,0,0,0,0.0,0,0,,,windows
64c531d53b30,2026-01-13,5,47,7,"{""system"":2,""dungeon"":1,""confirmation"":1,""other"":1}",9,5,51696,125152,0.81,0,0,,claude-opus-4-5-20251101,mac
93d9f3cc489d,2026-01-13,4,79,8,"{""other"":3,""ai"":1}",12,162,137628,8734,0.13,3,0,,claude-opus-4-5-20251101,mac
5cb9ef9e917f,2026-01-13,3,54,19,"{""build"":2,""artwork"":1}",9,375,62742,22116,0.18,0,0,,claude-opus-4-5-20251101,mac
91c6babbd56f,2026-01-13,3,148,32,"{""networking"":1,""other"":1,""combat"":1}",9,5,148134,16763,0.18,0,0,,claude-opus-4-5-20251101,mac
3b3c3fa36a39,2026-01-13,3,71,20,"{""ai"":1,""system"":1,""tooling"":1}",6,2,57480,7820,0.08,0,0,,claude-opus-4-5-20251101,mac
88b47acc964e,2026-01-14,3,32,10,"{""other"":2,""artwork"":1}",9,93,71222,28846,0.22,1,0,,claude-opus-4-5-20251101,mac
38477a3a9959,2026-01-15,4,136,25,"{""rendering"":1,""tooling"":1,""save"":1,""planning"":1}",0,0,0,0,0.0,0,0,,,windows
7195fe259b25,2026-01-15,3,128,13,"{""gamestate"":2,""content"":1}",9,187,56590,28698,0.21,0,0,,claude-opus-4-5-20251101,mac
18529ddf3412,2026-01-16,48,14295,16,"{""system"":10,""confirmation"":9,""networking"":9,""other"":4,""planning"":3,""gamestate"":3,""ui"":2,""tooling"":2,""build"":2,""artwork"":1,""devtools"":1,""save"":1,""debugging"":1}",108,2318,2083650,1390384,9.79,11,10,"Plan,code-reviewer-game-dev,ecs-component-designer",claude-opus-4-5-20251101,mac
eed22a0f54b6,2026-01-16,11,1703,22,"{""ui"":3,""confirmation"":2,""rendering"":1,""other"":1,""system"":1,""debugging"":1,""devtools"":1,""audio"":1}",30,67,512383,244033,1.78,1,0,,claude-opus-4-5-20251101,mac
0f9db2095470,2026-01-16,1,58,58,"{""artwork"":1}",3,3,17327,11339,0.08,0,0,,claude-opus-4-5-20251101,mac
